snapshot_id,snapshot_ts,reason,candle_open_time,candle_close_time,position_open_time,side,size,entry_px,fees,funding,realised_pnl,fill_type,balance,equity,upnl
23655,1732644300000,Interval,1732644300000,1732644359999,1732638120000,Long,385.1614179624,230.5200000000,26.6362230206,0.0000000000,0.0000000000,Market,12312.4377585350,11958.0892540096,-354.3485045254
23656,1732644660000,Flatten,1732644660000,1732644719999,1732638120000,Long,385.1614179624,230.5200000000,26.6362230206,0.0000000000,0.0000000000,Market,12312.4377585350,11542.1149226103,-770.3228359247
27755,1736332080000,Open,1736332080000,1736332139999,1736332080000,Long,419.4650980477,197.6400000000,24.8709245934,0.0000000000,0.0000000000,Market,11494.6893305424,11532.4411893667,37.7518588243
27756,1736332500000,Interval,1736332500000,1736332559999,1736332080000,Long,419.4650980477,197.6400000000,24.8709245934,0.0000000000,0.0000000000,Market,11494.6893305424,11201.0637619090,-293.6255686334
27757,1736333040000,Flatten,1736333040000,1736333099999,1736332080000,Long,419.4650980477,197.6400000000,24.8709245934,0.0000000000,0.0000000000,Market,11494.6893305424,11213.6477148504,-281.0416156920
27760,1736334180000,Open,1736334180000,1736334239999,1736334180000,Long,408.3525949906,197.1900000000,24.1569144619,0.0000000000,0.0000000000,Market,11164.7041882798,11201.4559218290,36.7517335492
27761,1736334300000,Interval,1736334300000,1736334359999,1736334180000,Long,408.3525949906,197.1900000000,24.1569144619,0.0000000000,0.0000000000,Market,11164.7041882798,11197.3723958791,32.6682075993
27762,1736335140000,Flatten,1736335140000,1736335199999,1736334180000,Long,408.3525949906,197.1900000000,24.1569144619,0.0000000000,0.0000000000,Market,11164.7041882798,10772.6856970889,-392.0184911910
27774,1736343720000,Open,1736343720000,1736343779999,1736343720000,Long,392.5052188206,196.8200000000,23.1758631505,0.0000000000,0.0000000000,Market,10725.4705250239,10862.8473516111,137.3768265872
27775,1736344200000,Interval,1736344200000,1736344259999,1736343720000,Long,392.5052188206,196.8200000000,23.1758631505,0.0000000000,0.0000000000,Market,10725.4705250239,10831.4469341054,105.9764090816
27776,1736344680000,Flatten,1736344680000,1736344739999,1736343720000,Long,392.5052188206,196.8200000000,23.1758631505,0.0000000000,0.0000000000,Market,10725.4705250239,10847.1471428583,121.6766178344
29598,1737982440000,Open,1737982440000,1737982499999,1737982440000,Long,342.0182975199,229.0100000000,23.4976830945,0.0000000000,0.0000000000,Market,10890.6862110966,11147.1999342365,256.5137231399
29599,1737983100000,Flatten,1737983100000,1737983159999,1737982440000,Long,342.0182975199,229.0100000000,23.4976830945,0.0000000000,0.0000000000,Market,10890.6862110966,11968.0438482843,1077.3576371877
29600,1737983100000,Interval,1737983100000,1737983159999,1737982440000,Long,342.0182975199,229.0100000000,23.4976830945,0.0000000000,0.0000000000,Market,10890.6862110966,11968.0438482843,1077.3576371877
31573,1739757120000,Open,1739757120000,1739757179999,1739757120000,Long,463.9112516801,189.1900000000,26.3302109116,0.0000000000,0.0000000000,Market,12171.9584235437,12232.2668862622,60.3084627184
31574,1739757900000,Interval,1739757900000,1739757959999,1739757120000,Long,463.9112516801,189.1900000000,26.3302109116,0.0000000000,0.0000000000,Market,12171.9584235437,11967.8374728045,-204.1209507392
